#{"t_start": 1619470822.6716092, "env_id": null}
r,l,t
-0.044667,1,5544.896949
-0.2195,2,5552.988698
-0.046833,1,5558.419696
-1.297167,4,5569.778716
-0.045333,1,5575.519706
-0.045333,1,5581.348698
-0.218333,2,5588.962695
-0.044833,1,5594.244705
-0.046667,1,5600.167723
-0.6055,3,5609.901698
-0.6055,3,5619.768694
-0.044667,1,5625.573695
-1.131833,4,5636.700701
-1.310667,4,5647.9087
-0.218833,2,5655.989724
-0.569167,3,5666.983705
-0.219,2,5674.542695
-0.2085,2,5682.512697
-2.350667,5,5698.613701
-0.219833,2,5705.8847
-0.048167,1,5711.387507
-0.219167,2,5720.005486
-0.044833,1,5725.41649
-0.2195,2,5732.157062
-1.291833,4,5745.715054
-0.047,1,5751.20305
-0.219,2,5758.883051
-0.605833,3,5769.914061
-0.606667,3,5779.782047
-0.217,2,5787.410064
-0.046833,1,5792.799052
-0.219667,2,5800.874058
-0.048167,1,5806.337051
-0.2185,2,5813.840061
-1.2635,4,5826.203049
-0.6015,3,5835.236047
-0.045,1,5840.557072
-0.6045,3,5850.284046
-0.047333,1,5855.283045
-0.214,2,5862.367047
-1.291333,4,5874.340071
-0.044833,1,5879.616046
-0.218333,2,5887.207071
-0.047333,1,5892.302053
-0.5985,3,5902.57105
-0.0475,1,5908.030051
-0.221333,2,5915.702051
-0.044667,1,5921.439072
-0.605,3,5932.161051
-0.218833,2,5940.217044
-0.046667,1,5946.026054
-0.045,1,5951.35905
-0.044833,1,5956.691046
-0.2195,2,5964.745057
-0.218833,2,5972.429053
-0.045,1,5977.811046
-0.045,1,5983.15405
-0.047833,1,5989.066057
-0.044833,1,5994.345057
-0.218833,2,6002.01605
-0.044667,1,6007.770057
-0.2095,2,6015.906062
-0.044667,1,6021.700052
-0.044667,1,6027.472045
-2.259667,5,6040.79505
-2.378,5,6055.732046
-0.046167,1,6061.121045
-1.290333,4,6073.869141
-0.046,1,6079.667061
-0.218333,2,6088.081048
-0.5835,3,6098.636051
-0.605167,3,6109.649058
-0.2195,2,6117.742057
-0.218833,2,6125.684075
-0.044667,1,6131.421046
-0.231833,2,6138.889051
-0.044833,1,6144.165071
-0.047333,1,6149.184054
-0.631,3,6159.346056
-0.605167,3,6169.08206
-0.623667,3,6179.890052
-0.612667,3,6190.298062
-0.218333,2,6198.737051
-0.218833,2,6206.777051
-0.220667,2,6213.159068
-0.624667,3,6223.089057
-0.044667,1,6228.803061
