#{"t_start": 1619579352.0498183, "env_id": null}
r,l,t
-3.926333,6,8279.198141
-0.218833,2,8287.475137
-0.219,2,8294.82114
-0.2115,2,8302.672144
-0.583,3,8312.595135
-0.205,2,8321.154136
-0.046,1,8327.013136
-0.047833,1,8333.078138
-1.3,4,8346.304146
-0.603167,3,8356.959165
-0.220333,2,8365.752136
-0.044833,1,8371.159136
-0.046333,1,8377.06515
-0.045,1,8382.479137
-0.046333,1,8388.453146
-0.044667,1,8394.267139
-0.044833,1,8399.610147
-1.272667,4,8412.599137
-0.607167,3,8423.909145
-0.219833,2,8432.681157
-0.044667,1,8438.511763
-0.6065,3,8449.843765
-0.218833,2,8457.655773
-0.045333,1,8463.580765
-0.605333,3,8472.268767
-0.217,2,8480.000905
-0.046333,1,8485.958917
-1.276167,4,8499.693907
